"filename", "language", "JavaScript", "JSON with Comments", "JSON", "PostCSS", "Python", "Markdown", "XML", "pip requirements", "comment", "blank", "total"
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\app\page.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 3, 22
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\app\profile\page.js", "JavaScript", 205, 0, 0, 0, 0, 0, 0, 0, 9, 21, 235
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\app\study-planner\page.js", "JavaScript", 196, 0, 0, 0, 0, 0, 0, 0, 20, 29, 245
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\app\yt-summarizer\page.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 0, 13, 14, 152
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\AuthProvider.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\BadgeCard.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 3, 21
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\Dashboard.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 2, 24
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\Footer.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\InitialPage.js", "JavaScript", 232, 0, 0, 0, 0, 0, 0, 0, 8, 13, 253
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\LearningPath.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\LearningProgress.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\NavBar.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 5, 79
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\QuizBadgesDisplay.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\RecommendedCourses.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\Sidebar.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 7, 2, 40
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\Widget.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\components\sessionWrapper.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\eslint.config.mjs", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\jsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\lib\auth.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\lib\badges.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 8, 2, 43
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\lib\dbConnect.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\lib\hooks\useQuizStreak.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\lib\hooks\useStreak.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 18, 14, 79
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\lib\quizBadges.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 8, 2, 43
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\models\Quiz.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 12, 4, 65
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\models\UserProfile.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 2, 32
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\models\flashcards_mindmap.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 6, 4, 40
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\next.config.mjs", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\package-lock.json", "JSON", 0, 0, 8685, 0, 0, 0, 0, 0, 0, 1, 8686
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\postcss.config.mjs", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\styles\Badge.module.css", "PostCSS", 0, 0, 0, 44, 0, 0, 0, 0, 2, 7, 53
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\styles\globals.css", "PostCSS", 0, 0, 0, 143, 0, 0, 0, 0, 9, 22, 174
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\syllabus_results.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\tailwind.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"Total", "-", 3385, 7, 9560, 187, 2437, 24, 5, 41, 1278, 926, 17850
